id,name,population,area,latitude,longitude,country
129,Pisa,30000,185,43.7228386,10.4016888,PIS
130,Pistoia,12000,115.5,43.9303475,10.9078587,VEN
131,Prato,13000,66,43.8777049,11.102228,VEN
132,Siena,50000,180,43.318809,11.3307574,SIE
133,Lucca,25000,95,43.843078,10.50272,LUC
134,Augsburg,25000,189,48.3705449,10.89779,SWI
135,Bamberg,8000,75,49.8988135,10.9027636,SWI
136,Bautzen,5000,70,51.182293,14.4237749,SWI
137,Bremen,12000,70,53.0792962,8.8016937,BRE
138,Dresden,5000,85,51.0504088,13.7372621,SWI
139,Erfurt,23300,133,50.984768,11.02988,SWI
140,Frankfurt am Main,13000,128,50.1109221,8.6821267,FRK
141,Goerlitz,7000,72,51.1506269,14.968707,SWI
142,Greifswald,8000,72,54.0865463,13.3923414,SWI
143,Halberstadt,6000,89,51.8948709,11.0496159,SWI
144,Hamburg,8000,88,53.5510846,9.9936818,HAM
145,Hannover,5000,54,52.3758916,9.7320104,SWI
146,Leipzig,3000,42,51.3396955,12.3730747,SWI
147,Luebeck,23600,200,53.8654673,10.6865593,LUB
148,Lueneburg,8000,56,53.2464214,10.4115179,SWI
149,Mainz,24500,120,49.9928617,8.2472526,SWI
150,Noerdlingen,10000,93,48.8508157,10.4894906,SWI
151,Nuernberg,13000,149,49.45203,11.07675,SWI
152,Paderborn,7000,70,51.7189205,8.7575093,SWI
153,Regensburg,11000,95,49.0134297,12.1016236,SWI
154,Rostock,14000,98,54.0924406,12.0991466,SWI
155,Stralsund,12000,72,54.3090654,13.0770347,SWI
156,Stuttgart,5000,50,48.7758459,9.1829321,SWI
157,Ulm,7300,75,48.4010822,9.9876076,ULM
158,Wismar,8000,58,53.8979416,11.4516022,SWI
159,Worms,18700,170,49.6341372,8.3507182,SWI
160,Wuerzburg,7000,72,49.7913044,9.9533548,SWI
161,Braunschweig,12000,115,52.2688736,10.5267696,SWI
162,Muehlhausen,7500,50,51.2098649,10.4571001,SWI
163,Strasbourg,20000,270,48.5734053,7.7521113,SWI
164,Basel,11000,75,47.5674422,7.5975507,SWI
165,Konstanz,6000,50,47.6779496,9.1732384,SWI
166,Zurich,9500,70,47.3908524,8.5226185,SWI
167,Aachen,20000,175,50.7753455,6.0838868,SWI
168,Dortmund,7000,72,51.5135872,7.4652981,SWI
169,Koeln,54000,400,50.937531,6.9602786,SWI
170,Muenster,16000,140,51.9606649,7.6261347,SWI
171,Osnabrueck,9000,98,52.2799112,8.0471788,SWI
172,Soest,11500,111,51.5711476,8.105754,SWI
173,Trier,12700,133,49.749992,6.6371433,TRI
174,Porto,19700,133,49.749992,6.6371433,POR
175,Lisboa,23700,133,49.749992,6.6371433,POR
176,Braga,15700,133,49.749992,6.6371433,POR
177,Vila Real,12700,133,49.749992,6.6371433,POR
178,Bragança,19700,133,49.749992,6.6371433,POR
179,Coimbra,23700,133,49.749992,6.6371433,POR
180,Faro,15700,133,49.749992,6.6371433,POR
181,Viseu,12700,133,49.749992,6.6371433,POR
182,Evora,19700,133,49.749992,6.6371433,POR
183,Beja,23700,133,49.749992,6.6371433,POR
184,Setubal,15700,133,49.749992,6.6371433,POR
185,Portalegre,12700,133,49.749992,6.6371433,POR
186,Guarda,19700,133,49.749992,6.6371433,POR
187,Leiria,23700,133,49.749992,6.6371433,POR
188,Portimao,15700,133,49.749992,6.6371433,POR
189,Malacca,15700,133,49.749992,6.6371433,MAL
190,Brunei,15700,133,49.749992,6.6371433,BRU
191,Toledo,15700,133,49.749992,6.6371433,CAS
192,Sevilla,15700,133,49.749992,6.6371433,GRN
193,Granada,15700,133,49.749992,6.6371433,GRN
194,Jaen,15700,133,49.749992,6.6371433,GRN
195,Cordoba,15700,133,49.749992,6.6371433,GRN
196,Almeria,15700,133,49.749992,6.6371433,GRN
197,Albacete,15700,133,49.749992,6.6371433,CAS
198,Cuenca,15700,133,49.749992,6.6371433,CAS
199,Guadalajara,15700,133,49.749992,6.6371433,CAS
200,Chaves,15700,133,49.749992,6.6371433,POR
201,Salamanca,15700,133,49.749992,6.6371433,CAS
202,Vigo,15700,133,49.749992,6.6371433,CAS
203,La Coruna,15700,133,49.749992,6.6371433,CAS
204,Santiago de Compostela,15700,133,49.749992,6.6371433,CAS
205,Leon,15700,133,49.749992,6.6371433,CAS
206,Palencia,15700,133,49.749992,6.6371433,CAS
207,Segovia,15700,133,49.749992,6.6371433,CAS
208,Soria,15700,133,49.749992,6.6371433,CAS
209,Valladolid,15700,133,49.749992,6.6371433,CAS
210,Zamora,15700,133,49.749992,6.6371433,CAS
211,Aveiro,15700,133,49.749992,6.6371433,POR
212,Barcelos,15700,133,49.749992,6.6371433,POR
